HD 156279 c,2018,
HD 156411 b,2009,
HD 156668 b,2010,
HD 156846 b,2007,
HD 158038 b,2011,
HD 158996 b,2018,
HD 159243 b,2013,
HD 159243 c,2013,
HD 159868 b,2006,
HD 159868 c,2012,
HD 1605 b,2015,
HD 1605 c,2015,
HD 160691 b,2000,
HD 160691 c,2004,
HD 160691 d,2004,
HD 160691 e,2006,
HD 16141 b,2000,
HD 16175 b,2009,
HD 162020 b,2002,
HD 163607 b,2010,
HD 163607 c,2010,
HD 16417 b,2008,
HD 164509 b,2010,
HD 164595 b,2015,
HD 164604 b,2009,
HD 164922 b,2005,
HD 164922 c,2016,401
HD 165155 b,2016,
HD 1666 b,2015,
HD 166724 b,2012,
HD 167042 b,2007,
HD 168443 b,1998,
HD 168443 c,2000,
HD 168746 b,2002,
HD 1690 b,2010,
HD 169830 b,2000,
HD 169830 c,2003,
HD 170469 b,2007,
HD 17092 b,2007,
HD 171028 b,2007,
HD 171238 b,2009,
HD 17156 b,2007,
HD 173416 b,2008,
HD 175167 b,2009,
HD 175541 b,2007,
HD 175607 b,2015,
HD 17674 b,2017,
HD 176986 b,2017,
HD 176986 c,2017,
HD 177565 b,2017,
HD 177830 b,1999,
HD 177830 c,2010,
HD 178911 B b,2001,
HD 179079 b,2008,
HD 179949 b,2000,
HD 180053 b,2018,
HD 18015 b,2018,
HD 180314 b,2010,
HD 180617 b,2018,
HD 180902 b,2009,
HD 181234 b,2019,
HD 181342 b,2009,
HD 181433 b,2008,
HD 181433 c,2008,
HD 181433 d,2008,
HD 181720 b,2009,
HD 183263 b,2004,
HD 183263 c,2008,
HD 185269 b,2006,
HD 187085 b,2006,
HD 187123 b,1998,
HD 187123 c,2008,
